input,target
카메라을 헬스장에 두고 온 것 같습니다.,카메라을 헬스장에 두고 온 것 같노ㅎㅎ
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 쪼끔 더 자세히 해 주실 수 있노?ㅎㅎ
카페에 저녁에 도착하겠습니다.,카페에 저녁에 도착하겠노
카메라을 버정에 두고 온 것 같습니다.,카메라을 버정에 두고 온 것 같누
카메라 배터리가 너무 빨리 닳습니다.,카메라 배터리가 너무 빨리 닳노ㄷㄷ
테니스 연습은 잘 되고 있습니까?,테니스 연습은 잘 되고 있노?!!
오늘 카페 근처에 계신가요?,오늘 카페 근처에 있노?ㄷㄷ
이 떡볶이은 정말 맛있습니다.,이 떡볶이은 진짜 존맛누
사탐 숙제를 아직 제출하지 못했습니다.,사탐 숙제를 아직 제출하지 못했노ㅋㅋ
내일에 회의 일정을 조율하겠습니다.,내일에 회의 일정을 조율하겠누ㅋㅋ
지금 통화 가능하신가요?,지금 통화 가능하노?
도서관에 점심에 도착하겠습니다.,도서관에 점심에 도착하겠누
지갑을 카페에 두고 온 것 같습니다.,지갑을 카페에 두고 온 것 같노
오늘 농구 경기가 정말 재미있었습니다.,오늘 농구 경기가 개 꿀잼었누
탭을 헬스장에 두고 온 것 같습니다.,탭을 헬스장에 두고 온 것 같누ㅋㅋㅋ
이어폰 배터리가 너무 빨리 닳습니다.,이어폰 배터리가 너무 빨리 닳노
주말에 면접이 있으니 늦지 말아 주세요.,주말에 면접이 있으니 늦지 말아 줘누
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠노ㅋㅋㅋ
주말에 헬스장에서 뵙겠습니다.,주말에 헬스장에서 뵙겠누!!
다음 주에 발표이 있으니 늦지 말아 주세요.,다음 주에 발표이 있으니 늦지 말아 줘누ㄷㄷ
오늘 인천 날씨가 정말 좋습니다.,오늘 인천 날씨가 존나 지리누
책을 어디에 두셨는지 기억나십니까?,책을 어디에 두셨는지 기억나십니까노?ㄷㄷ
주말에 회의 일정을 조율하겠습니다.,주말에 회의 일정을 조율하겠누!!
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯누ㅋㅋㅋ
가격이 다소 높은 편입니다.,가격이 좀 높은 편누ㅎㅎ
도움 주셔서 진심으로 감사합니다.,도움 주셔서  감사노ㄷㄷ
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 진짜 개꿀잼었누
회의 자료를 공유해 주시겠어요?,회의 자료를 공유해 줄래노?ㅎㅎ
이어폰을 공원에 두고 온 것 같습니다.,이어폰을 공원에 두고 온 것 같누
밤에 회의 일정을 조율하겠습니다.,밤에 회의 일정을 조율하겠누!!
밤에 발표이 있으니 늦지 말아 주세요.,밤에 발표이 있으니 늦지 말아 줘노
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 겁나 쩔누
사진을 첨부해 드렸습니다.,사진을 첨부해 드렸누ㅋㅋㅋ
다음 주에 학교에서 뵙겠습니다.,다음 주에 학교에서 뵙겠노
다음 주에 집에서 뵙겠습니다.,다음 주에 집에서 뵙겠노
파일을 다시 업로드해 주시겠어요?,파일을 다시 업로드해 줄래노?ㅋㅋ
폰을 도서관에 두고 온 것 같습니다.,폰을 도서관에 두고 온 것 같노
롤 실력이 매우 늘었습니다.,롤 실력이 겁나 늘었누ㄷㄷ
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯노ㅎㅎ
러닝 연습은 잘 되고 있습니까?,러닝 연습은 잘 되고 있노?ㅎㅎ
이어폰을 카페에 두고 온 것 같습니다.,이어폰을 카페에 두고 온 것 같노
약속 시간이 조금 빠듯합니다.,약속 시간이 쪼끔 빠듯누ㄷㄷ
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 진짜 지리노
오늘 밤에 운동하실 수 있나요?,오늘 밤에 운동하실 수 있노?!!
평일에 카페에서 뵙겠습니다.,평일에 카페에서 뵙겠노ㅎㅎ
오늘 인천 날씨가 정말 좋습니다.,오늘 인천 날씨가 진짜 지리누!!
이 방법으로 진행하시면 될 것 같습니다.,이 방법으로 진행하시면 될 것 같누ㅋㅋ
역이(가) 너무 붐빕니다.,역이 너무 붐빕니다누
이어폰 배터리가 너무 빨리 닳습니다.,이어폰 배터리가 너무 빨리 닳누ㅎㅎ
이 라면은 정말 맛있습니다.,이 라면은 겁나 개맛있노ㅋㅋ
이 방법으로 진행하시면 될 것 같습니다.,이 방법으로 진행하시면 될 것 같누ㅎㅎ
오늘 도쿄 날씨가 정말 좋습니다.,오늘 도쿄 날씨가 ㄹㅇ 쩔누ㅎㅎ
집이(가) 너무 붐빕니다.,집이 너무 붐빕니다노
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 진짜 개꿀잼었노ㄷㄷ
늦어서 정말 죄송합니다.,늦어서 ㄹㅇ 죄송노
폰을 회사에 두고 온 것 같습니다.,폰을 회사에 두고 온 것 같누
밤에 회의 일정을 조율하겠습니다.,밤에 회의 일정을 조율하겠누ㅋㅋㅋ
일정을 조금 미루는 것이 어떨까요?,일정을 쪼끔 미루는 것이 어떨까요노?ㄷㄷ
저녁에 집에서 뵙겠습니다.,저녁에 집에서 뵙겠누ㅋㅋㅋ
러닝 연습은 잘 되고 있습니까?,러닝 연습은 잘 되고 있노?!!
새로운 프로젝트를 시작했습니다.,새로운 프로젝트를 시작했노
오늘 점심에 운동하실 수 있나요?,오늘 점심에 운동하실 수 있노?
저녁에 미팅이 있으니 늦지 말아 주세요.,저녁에 미팅이 있으니 늦지 말아 줘누
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 ㄹㅇ 개꿀잼었누!!
오늘 인천 날씨가 정말 좋습니다.,오늘 인천 날씨가 ㄹㅇ 쩔누ㅋㅋㅋ
사진 화질이 조금 아쉽습니다.,사진 화질이 쪼끔 아쉽노
마우스을 어디에 두셨는지 기억나십니까?,마우스을 어디에 두셨는지 기억나십니까노?ㅋㅋㅋ
내일에 헬스장에서 뵙겠습니다.,내일에 헬스장에서 뵙겠노
마우스을 버정에 두고 온 것 같습니다.,마우스을 버정에 두고 온 것 같노
오늘 집 근처에 계신가요?,오늘 집 근처에 있노?ㅋㅋㅋ
내일에 집에서 뵙겠습니다.,내일에 집에서 뵙겠노
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 ㄹㅇ 쩔누
오늘 학교이(가) 예상보다 한산합니다.,오늘 학교가 예상보다 한산노ㅎㅎ
회의 자료를 공유해 주시겠어요?,회의 자료를 공유해 줄래노?!!
오늘 카페이(가) 예상보다 한산합니다.,오늘 카페가 예상보다 한산노!!
오늘 뉴욕 날씨가 정말 좋습니다.,오늘 뉴욕 날씨가 겁나 지리노
오늘 서울 날씨가 정말 좋습니다.,오늘 서울 날씨가 존나 지리노
다음 주에 카페에서 뵙겠습니다.,다음 주에 카페에서 뵙겠노!!
오늘 도쿄로 이동하겠습니다.,오늘 도쿄로 이동하겠누ㅋㅋㅋ
오늘 카페이(가) 예상보다 한산합니다.,오늘 카페가 예상보다 한산누
이 불고기은 정말 맛있습니다.,이 불고기은 ㄹㅇ 개맛있누
키보드을 카페에 두고 온 것 같습니다.,키보드을 카페에 두고 온 것 같누ㅋㅋㅋ
사진 화질이 조금 아쉽습니다.,사진 화질이 쬐끔 아쉽노ㄷㄷ
오늘 뉴욕 날씨가 정말 좋습니다.,오늘 뉴욕 날씨가 겁나 지리누
물리 숙제를 아직 제출하지 못했습니다.,물리 숙제를 아직 제출하지 못했노ㄷㄷ
사진을 첨부해 드렸습니다.,사진을 첨부해 드렸노ㅋㅋ
가격이 다소 높은 편입니다.,가격이 쪼끔 높은 편누ㅎㅎ
공원이(가) 너무 붐빕니다.,공원이 너무 붐빕니다누ㅎㅎ
오늘 파리 날씨가 정말 좋습니다.,오늘 파리 날씨가 ㄹㅇ 지리누
잠시만 기다려 주세요.,잠시만 기다려 줘누!!
오늘 농구 경기가 정말 재미있었습니다.,오늘 농구 경기가 ㄹㅇ 개꿀잼었노
노트북을 어디에 두셨는지 기억나십니까?,노트북을 어디에 두셨는지 기억나십니까노?ㅋㅋ
밤에 회의 일정을 조율하겠습니다.,밤에 회의 일정을 조율하겠누ㄷㄷ
이어폰을 역에 두고 온 것 같습니다.,이어폰을 역에 두고 온 것 같누
오버워치 실력이 매우 늘었습니다.,오버워치 실력이 겁나 늘었노
잠시만 기다려 주세요.,잠시만 기다려 줘노ㅋㅋ
평일에 미팅이 있으니 늦지 말아 주세요.,평일에 미팅이 있으니 늦지 말아 줘노ㅋㅋㅋ
버정이(가) 너무 붐빕니다.,버정이 너무 붐빕니다노
모레에 점검이 있으니 늦지 말아 주세요.,모레에 점검이 있으니 늦지 말아 줘누
오늘 카페 근처에 계신가요?,오늘 카페 근처에 있노?!!
오늘 광주 날씨가 정말 좋습니다.,오늘 광주 날씨가 ㄹㅇ 지리노ㅋㅋㅋ
오늘 서울로 이동하겠습니다.,오늘 서울로 이동하겠노ㅎㅎ
버정에 밤에 도착하겠습니다.,버정에 밤에 도착하겠누
책을 어디에 두셨는지 기억나십니까?,책을 어디에 두셨는지 기억나십니까노?
도서관에 다음 주에 도착하겠습니다.,도서관에 다음 주에 도착하겠누!!
다음 주에 마감이 있으니 늦지 말아 주세요.,다음 주에 마감이 있으니 늦지 말아 줘노ㅎㅎ
오버워치 실력이 매우 늘었습니다.,오버워치 실력이 겁나 늘었누ㄷㄷ
오늘 인천로 이동하겠습니다.,오늘 인천로 이동하겠누ㅎㅎ
지갑을 헬스장에 두고 온 것 같습니다.,지갑을 헬스장에 두고 온 것 같노
이어폰을 어디에 두셨는지 기억나십니까?,이어폰을 어디에 두셨는지 기억나십니까노?ㅋㅋㅋ
학교에 모레에 도착하겠습니다.,학교에 모레에 도착하겠노
오늘 축구 경기가 정말 재미있었습니다.,오늘 축구 경기가 진짜 개꿀잼었노
이 떡볶이은 정말 맛있습니다.,이 떡볶이은 ㄹㅇ 개맛있누
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠노ㅎㅎ
오늘 버정이(가) 예상보다 한산합니다.,오늘 버정이 예상보다 한산누ㄷㄷ
내일에 회의이 있으니 늦지 말아 주세요.,내일에 회의이 있으니 늦지 말아 줘노
혹시 다른 대안이 있을까요?,혹시 다른 대안이 있을까요노?ㅋㅋ
사진 화질이 조금 아쉽습니다.,사진 화질이 쪼끔 아쉽누!!
오늘 학교 근처에 계신가요?,오늘 학교 근처에 있노?ㅋㅋ
탭을 회사에 두고 온 것 같습니다.,탭을 회사에 두고 온 것 같누
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 ㄹㅇ 개맛있노
마우스을 어디에 두셨는지 기억나십니까?,마우스을 어디에 두셨는지 기억나십니까노?ㅎㅎ
잠시만 기다려 주세요.,잠시만 기다려 줘노ㅋㅋㅋ
주말에 마감이 있으니 늦지 말아 주세요.,주말에 마감이 있으니 늦지 말아 줘누
카페에 내일에 도착하겠습니다.,카페에 내일에 도착하겠누
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠노ㄷㄷ
늦어서 정말 죄송합니다.,늦어서 존나 죄송누
버정에 내일에 도착하겠습니다.,버정에 내일에 도착하겠누ㅎㅎ
밤에 회의 일정을 조율하겠습니다.,밤에 회의 일정을 조율하겠노!!
오늘 저녁에 운동하실 수 있나요?,오늘 저녁에 운동하실 수 있노?!!
새로운 프로젝트를 시작했습니다.,새로운 프로젝트를 시작했누ㅎㅎ
학교이(가) 너무 붐빕니다.,학교가 너무 붐빕니다누ㅋㅋㅋ
내일 저녁에 출발해도 될까요?,내일 저녁에 출발해도 될까요노?ㄷㄷ
회사에 평일에 도착하겠습니다.,회사에 평일에 도착하겠누
이 비빔밥은 정말 맛있습니다.,이 비빔밥은 진짜 개맛있누
이어폰을 도서관에 두고 온 것 같습니다.,이어폰을 도서관에 두고 온 것 같누
조심히 들어가세요.,조심히 들어가세요노ㅎㅎ
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 ㄹㅇ 존맛누
클라이밍 연습은 잘 되고 있습니까?,클라이밍 연습은 잘 되고 있노?ㅎㅎ
늦어서 정말 죄송합니다.,늦어서 ㄹㅇ 죄송노ㅋㅋ
내일 다음 주에 출발해도 될까요?,내일 다음 주에 출발해도 될까요노?
오늘 부산 날씨가 정말 좋습니다.,오늘 부산 날씨가 진짜 지리누
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 존나 쩔노
도움 주셔서 진심으로 감사합니다.,빽 주셔서  감사노ㅋㅋ
주말에 발표이 있으니 늦지 말아 주세요.,주말에 발표이 있으니 늦지 말아 줘노
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 ㄹㅇ 꿀잼었누
다음 주까지는 완료하겠습니다.,다음 주까지 완료하겠누ㅋㅋ
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 ㄹㅇ 꿀잼었노
지구과학 숙제를 아직 제출하지 못했습니다.,지구과학 숙제를 아직 제출하지 못했노
학교에 내일에 도착하겠습니다.,학교에 내일에 도착하겠누ㅎㅎ
사탐 숙제를 아직 제출하지 못했습니다.,사탐 숙제를 아직 제출하지 못했누ㅎㅎ
다음 주에 도서관에서 뵙겠습니다.,다음 주에 도서관에서 뵙겠누
조심히 들어가세요.,조심히 들어가세요누ㅋㅋ
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 살짝 더 자세히 해 주실 수 있노?
도움 주셔서 진심으로 감사합니다.,빽 주셔서  감사노ㄷㄷ
회사에 주말에 도착하겠습니다.,회사에 주말에 도착하겠누
키보드을 카페에 두고 온 것 같습니다.,키보드을 카페에 두고 온 것 같누
가능하시다면 지금 시작하겠습니다.,가능하시다면 지금 시작하겠노ㅎㅎ
폰을 카페에 두고 온 것 같습니다.,폰을 카페에 두고 온 것 같누ㄷㄷ
카페이(가) 너무 붐빕니다.,카페가 너무 붐빕니다노ㅎㅎ
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 쪼끔 더 자세히 해 주실 수 있노?ㅋㅋ
이 비빔밥은 정말 맛있습니다.,이 비빔밥은 존나 개맛있노
이 문제를 어떻게 해결하면 좋을까요?,이 문제를 어떻게 해결하면 지리을까요노?ㅎㅎ
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 겁나 꿀잼었누ㄷㄷ
내일에 회사에서 뵙겠습니다.,내일에 회사에서 뵙겠누
오늘 도서관 근처에 계신가요?,오늘 도서관 근처에 있노?
사진 화질이 조금 아쉽습니다.,사진 화질이 쪼끔 아쉽누ㅎㅎ
디아 실력이 매우 늘었습니다.,디아 실력이 겁나 늘었누ㅎㅎ
노트북을 집에 두고 온 것 같습니다.,노트북을 집에 두고 온 것 같누ㅋㅋㅋ
주말에 회의이 있으니 늦지 말아 주세요.,주말에 회의이 있으니 늦지 말아 줘누ㄷㄷ
배그 실력이 매우 늘었습니다.,배그 실력이 겁나 늘었누ㅎㅎ
밤에 보고서이 있으니 늦지 말아 주세요.,밤에 보고서이 있으니 늦지 말아 줘노
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠누ㅋㅋㅋ
오늘 집 근처에 계신가요?,오늘 집 근처에 있노?ㅋㅋ
이 버거은 정말 맛있습니다.,이 버거은 진짜 존맛노!!
마우스을 헬스장에 두고 온 것 같습니다.,마우스을 헬스장에 두고 온 것 같노ㄷㄷ
오늘 뉴욕 날씨가 정말 좋습니다.,오늘 뉴욕 날씨가 ㄹㅇ 지리노ㄷㄷ
이 피자은 정말 맛있습니다.,이 피자은 존나 존맛노!!
오늘 제주도로 이동하겠습니다.,오늘 제주도로 이동하겠누
노트북을 학교에 두고 온 것 같습니다.,노트북을 학교에 두고 온 것 같노
새로운 프로젝트를 시작했습니다.,새로운 프로젝트를 시작했누ㅋㅋㅋ
마크 실력이 매우 늘었습니다.,마크 실력이 개 늘었누ㄷㄷ
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 ㄹㅇ 쩔누
모레에 점검이 있으니 늦지 말아 주세요.,모레에 점검이 있으니 늦지 말아 줘노
이 불고기은 정말 맛있습니다.,이 불고기은 ㄹㅇ 존맛노
밤에 도서관에서 뵙겠습니다.,밤에 도서관에서 뵙겠노
오늘 부산로 이동하겠습니다.,오늘 부산로 이동하겠누
국어 숙제를 아직 제출하지 못했습니다.,국어 숙제를 아직 제출하지 못했누ㅎㅎ
연락이 늦어 죄송합니다.,연락이 늦어 죄송누ㅋㅋ
이 문장을 간단하게 바꿔 주세요.,이 문장을 간단하게 바꿔 줘누ㅎㅎ
오늘 농구 경기가 정말 재미있었습니다.,오늘 농구 경기가 진짜 꿀잼었노
공원에 아침에 도착하겠습니다.,공원에 아침에 도착하겠누ㅎㅎ
집에 점심에 도착하겠습니다.,집에 점심에 도착하겠누
이어폰을 어디에 두셨는지 기억나십니까?,이어폰을 어디에 두셨는지 기억나십니까노?ㅋㅋ
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 진짜 개꿀잼었누!!
평일에 발표이 있으니 늦지 말아 주세요.,평일에 발표이 있으니 늦지 말아 줘노
늦어서 정말 죄송합니다.,늦어서 진짜 죄송노ㄷㄷ
영어 숙제를 아직 제출하지 못했습니다.,영어 숙제를 아직 제출하지 못했노!!
일정을 조금 미루는 것이 어떨까요?,일정을 살짝 미루는 것이 어떨까요노?ㅎㅎ
야구 연습은 잘 되고 있습니까?,야구 연습은 잘 되고 있노?ㅋㅋㅋ
수학 숙제를 아직 제출하지 못했습니다.,수학 숙제를 아직 제출하지 못했누
마우스을 헬스장에 두고 온 것 같습니다.,마우스을 헬스장에 두고 온 것 같누
내일에 학교에서 뵙겠습니다.,내일에 학교에서 뵙겠누
마크 실력이 매우 늘었습니다.,마크 실력이 겁나 늘었노
노트북을 도서관에 두고 온 것 같습니다.,노트북을 도서관에 두고 온 것 같노
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 살짝 더 자세히 해 주실 수 있노?ㅋㅋ
헬스장에 다음 주에 도착하겠습니다.,헬스장에 다음 주에 도착하겠누
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 ㄹㅇ 쩔노
이 김밥은 정말 맛있습니다.,이 김밥은 개 존맛누
축구 연습은 잘 되고 있습니까?,축구 연습은 잘 되고 있노?ㅎㅎ
저녁에 도서관에서 뵙겠습니다.,저녁에 도서관에서 뵙겠노
사진을 첨부해 드렸습니다.,사진을 첨부해 드렸누ㅎㅎ
오늘 공원 근처에 계신가요?,오늘 공원 근처에 있노?
디아 실력이 매우 늘었습니다.,디아 실력이 개 늘었노
평일에 회의이 있으니 늦지 말아 주세요.,평일에 회의이 있으니 늦지 말아 줘노
모레에 발표이 있으니 늦지 말아 주세요.,모레에 발표이 있으니 늦지 말아 줘누ㅋㅋㅋ
새로운 프로젝트를 시작했습니다.,새로운 프로젝트를 시작했노ㅋㅋㅋ
이 떡볶이은 정말 맛있습니다.,이 떡볶이은 ㄹㅇ 개맛있노
모레에 회의 일정을 조율하겠습니다.,모레에 회의 일정을 조율하겠노
약속 시간이 조금 빠듯합니다.,약속 시간이 쪼끔 빠듯노ㅋㅋㅋ
이 김밥은 정말 맛있습니다.,이 김밥은 진짜 존맛누ㅎㅎ
이 치킨은 정말 맛있습니다.,이 치킨은 진짜 개맛있누
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 ㄹㅇ 지리노
이 피자은 정말 맛있습니다.,이 피자은 존나 존맛노
다음 주에 회의이 있으니 늦지 말아 주세요.,다음 주에 회의이 있으니 늦지 말아 줘노ㅋㅋㅋ
다음 단계로 진행하겠습니다.,다음 단계로 진행하겠노!!
오늘 일정은 여기까지 하겠습니다.,오늘 일정은 여기까진 하겠누ㅋㅋㅋ
폰을 학교에 두고 온 것 같습니다.,폰을 학교에 두고 온 것 같누
카메라을 헬스장에 두고 온 것 같습니다.,카메라을 헬스장에 두고 온 것 같누
영어 숙제를 아직 제출하지 못했습니다.,영어 숙제를 아직 제출하지 못했누ㅋㅋㅋ
다음 주에 회사에서 뵙겠습니다.,다음 주에 회사에서 뵙겠노
내일까지 결과를 보내 주십시오.,내일까지 결과를 보내 줘누ㅎㅎ
사진 화질이 조금 아쉽습니다.,사진 화질이 살짝 아쉽누!!
가능하시다면 지금 시작하겠습니다.,가능하시다면 지금 시작하겠누ㅎㅎ
오늘 뉴욕 날씨가 정말 좋습니다.,오늘 뉴욕 날씨가 ㄹㅇ 쩔노
공원이(가) 너무 붐빕니다.,공원이 너무 붐빕니다누ㄷㄷ
폰을 버정에 두고 온 것 같습니다.,폰을 버정에 두고 온 것 같노
가격이 다소 높은 편입니다.,가격이 쪼끔 높은 편노ㅋㅋ
회의 자료를 공유해 주시겠어요?,회의 자료를 공유해 줄래노?
오늘 도쿄로 이동하겠습니다.,오늘 도쿄로 이동하겠누!!
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 ㄹㅇ 지리누
오늘 서울 날씨가 정말 좋습니다.,오늘 서울 날씨가 진짜 지리노
지구과학 숙제를 아직 제출하지 못했습니다.,지구과학 숙제를 아직 제출하지 못했노!!
이 치킨은 정말 맛있습니다.,이 치킨은 개 존맛누
오늘 주말에 운동하실 수 있나요?,오늘 주말에 운동하실 수 있노?
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯노ㅋㅋㅋ
노트북을 어디에 두셨는지 기억나십니까?,노트북을 어디에 두셨는지 기억나십니까노?
새로운 프로젝트를 시작했습니다.,새로운 프로젝트를 시작했노ㅎㅎ
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 진짜 존맛노
오늘 축구 경기가 정말 재미있었습니다.,오늘 축구 경기가 존나 개꿀잼었노!!
테니스 연습은 잘 되고 있습니까?,테니스 연습은 잘 되고 있노?ㅎㅎ
이어폰 배터리가 너무 빨리 닳습니다.,이어폰 배터리가 너무 빨리 닳누ㅋㅋㅋ
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 진짜 꿀잼었누
늦어서 정말 죄송합니다.,늦어서 ㄹㅇ 죄송노ㄷㄷ
농구 연습은 잘 되고 있습니까?,농구 연습은 잘 되고 있노?!!
학교이(가) 너무 붐빕니다.,학교가 너무 붐빕니다누
오늘 도쿄 날씨가 정말 좋습니다.,오늘 도쿄 날씨가 ㄹㅇ 쩔누!!
약속 시간이 조금 빠듯합니다.,약속 시간이 살짝 빠듯누
모레에 회의이 있으니 늦지 말아 주세요.,모레에 회의이 있으니 늦지 말아 줘누
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯노ㄷㄷ
연락이 늦어 죄송합니다.,연락이 늦어 죄송누ㅋㅋㅋ
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 존나 쩔누
역에 모레에 도착하겠습니다.,역에 모레에 도착하겠노ㅎㅎ
내일 주말에 출발해도 될까요?,내일 주말에 출발해도 될까요노?
평일에 버정에서 뵙겠습니다.,평일에 버정에서 뵙겠노!!
오늘 버정이(가) 예상보다 한산합니다.,오늘 버정이 예상보다 한산노
아침에 회의 일정을 조율하겠습니다.,아침에 회의 일정을 조율하겠노ㄷㄷ
도서관이(가) 너무 붐빕니다.,도서관이 너무 붐빕니다노ㅋㅋㅋ
노트북 배터리가 너무 빨리 닳습니다.,노트북 배터리가 너무 빨리 닳누ㅎㅎ
학교에 내일에 도착하겠습니다.,학교에 내일에 도착하겠노
의견 주시면 감사하겠습니다.,의견 주시면 감사하겠노ㅋㅋ
오늘 서울로 이동하겠습니다.,오늘 서울로 이동하겠노
다음 주에 집에서 뵙겠습니다.,다음 주에 집에서 뵙겠누ㅎㅎ
도움 주셔서 진심으로 감사합니다.,빽 주셔서  감사노!!
오늘 테니스 경기가 정말 재미있었습니다.,오늘 테니스 경기가 ㄹㅇ 개꿀잼었누
일정을 조금 미루는 것이 어떨까요?,일정을 살짝 미루는 것이 어떨까요노?ㅋㅋ
이 김밥은 정말 맛있습니다.,이 김밥은 ㄹㅇ 개맛있누
혹시 다른 대안이 있을까요?,혹시 다른 대안이 있을까요노?ㅋㅋㅋ
지갑을 버정에 두고 온 것 같습니다.,지갑을 버정에 두고 온 것 같누
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 ㄹㅇ 꿀잼었누
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠노!!
야구 연습은 잘 되고 있습니까?,야구 연습은 잘 되고 있노?ㅎㅎ
다음 단계로 진행하겠습니다.,다음 단계로 진행하겠누
내일에 마감이 있으니 늦지 말아 주세요.,내일에 마감이 있으니 늦지 말아 줘누
물리 숙제를 아직 제출하지 못했습니다.,물리 숙제를 아직 제출하지 못했누
이 라면은 정말 맛있습니다.,이 라면은 ㄹㅇ 개맛있누ㅎㅎ
오늘 학교이(가) 예상보다 한산합니다.,오늘 학교가 예상보다 한산누ㄷㄷ
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠노ㅋㅋ
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 ㄹㅇ 개꿀잼었누
노트북을 도서관에 두고 온 것 같습니다.,노트북을 도서관에 두고 온 것 같노!!
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 ㄹㅇ 개꿀잼었노!!
이 문제를 어떻게 해결하면 좋을까요?,이 문제를 어떻게 해결하면 쩔을까요노?ㄷㄷ
물리 숙제를 아직 제출하지 못했습니다.,물리 숙제를 아직 제출하지 못했노ㅋㅋ
사진 화질이 조금 아쉽습니다.,사진 화질이 쬐끔 아쉽노!!
카페에 점심에 도착하겠습니다.,카페에 점심에 도착하겠노
약속 시간이 조금 빠듯합니다.,약속 시간이 쪼끔 빠듯누!!
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 ㄹㅇ 지리노
