input,target
이 라면은 정말 맛있습니다.,이 라면은 진짜 존맛누ㄷㄷ
폰을 집에 두고 온 것 같습니다.,폰을 집에 두고 온 것 같노!!
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 ㄹㅇ 개꿀잼었노ㅋㅋㅋ
이 초밥은 정말 맛있습니다.,이 초밥은 진짜 존맛누ㅋㅋㅋ
오늘 헬스장이(가) 예상보다 한산합니다.,오늘 헬스장이 예상보다 한산노ㅎㅎ
카메라을 학교에 두고 온 것 같습니다.,카메라을 학교에 두고 온 것 같노ㅋㅋㅋ
평일에 버정에서 뵙겠습니다.,평일에 버정에서 뵙겠노ㅋㅋㅋ
저녁에 집에서 뵙겠습니다.,저녁에 집에서 뵙겠노!!
오늘 평일에 운동하실 수 있나요?,오늘 평일에 운동하실 수 있노?
수영 연습은 잘 되고 있습니까?,수영 연습은 잘 되고 있노?
키보드을 어디에 두셨는지 기억나십니까?,키보드을 어디에 두셨는지 기억나십니까노?ㅋㅋ
평일에 마감이 있으니 늦지 말아 주세요.,평일에 마감이 있으니 늦지 말아 줘노
롤 실력이 매우 늘었습니다.,롤 실력이 개 늘었노
버정에 내일에 도착하겠습니다.,버정에 내일에 도착하겠노
폰 배터리가 너무 빨리 닳습니다.,폰 배터리가 너무 빨리 닳누ㅋㅋㅋ
노트북을 헬스장에 두고 온 것 같습니다.,노트북을 헬스장에 두고 온 것 같누ㅋㅋ
가능하시다면 지금 시작하겠습니다.,가능하시다면 지금 시작하겠누
평일에 회사에서 뵙겠습니다.,평일에 회사에서 뵙겠누!!
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 진짜 존맛노ㄷㄷ
이 라면은 정말 맛있습니다.,이 라면은 ㄹㅇ 존맛누
키보드을 역에 두고 온 것 같습니다.,키보드을 역에 두고 온 것 같누ㅋㅋㅋ
오늘 집 근처에 계신가요?,오늘 집 근처에 있노?
오늘 헬스장이(가) 예상보다 한산합니다.,오늘 헬스장이 예상보다 한산누
약속 시간이 조금 빠듯합니다.,약속 시간이 쬐끔 빠듯누ㅎㅎ
이 치킨은 정말 맛있습니다.,이 치킨은 진짜 개맛있노
회사에 저녁에 도착하겠습니다.,회사에 저녁에 도착하겠누
버정에 다음 주에 도착하겠습니다.,버정에 다음 주에 도착하겠누
늦어서 정말 죄송합니다.,늦어서 개 죄송누!!
오늘 공원 근처에 계신가요?,오늘 공원 근처에 있노?ㅎㅎ
도서관이(가) 너무 붐빕니다.,도서관이 너무 붐빕니다노ㄷㄷ
주말에 면접이 있으니 늦지 말아 주세요.,주말에 면접이 있으니 늦지 말아 줘누ㅋㅋ
폰을 헬스장에 두고 온 것 같습니다.,폰을 헬스장에 두고 온 것 같누ㅎㅎ
오늘 다음 주에 운동하실 수 있나요?,오늘 다음 주에 운동하실 수 있노?
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 진짜 꿀잼었노ㄷㄷ
공원에 모레에 도착하겠습니다.,공원에 모레에 도착하겠노ㅋㅋㅋ
도움 주셔서 진심으로 감사합니다.,도움 주셔서  감사누ㅎㅎ
오늘 점심에 운동하실 수 있나요?,오늘 점심에 운동하실 수 있노?ㅋㅋㅋ
가격이 다소 높은 편입니다.,가격이 쪼끔 높은 편누ㄷㄷ
오늘 집이(가) 예상보다 한산합니다.,오늘 집이 예상보다 한산노
사진 화질이 조금 아쉽습니다.,사진 화질이 쬐끔 아쉽누ㄷㄷ
역에 모레에 도착하겠습니다.,역에 모레에 도착하겠노
탭을 공원에 두고 온 것 같습니다.,탭을 공원에 두고 온 것 같노
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 진짜 개꿀잼었누ㅎㅎ
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠누ㅋㅋ
영어 숙제를 아직 제출하지 못했습니다.,영어 숙제를 아직 제출하지 못했노ㅎㅎ
점심에 마감이 있으니 늦지 말아 주세요.,점심에 마감이 있으니 늦지 말아 줘노
이어폰 배터리가 너무 빨리 닳습니다.,이어폰 배터리가 너무 빨리 닳노ㅋㅋ
오늘 축구 경기가 정말 재미있었습니다.,오늘 축구 경기가 진짜 꿀잼었누
이 버거은 정말 맛있습니다.,이 버거은 ㄹㅇ 존맛노
도서관에 내일에 도착하겠습니다.,도서관에 내일에 도착하겠누
학교이(가) 너무 붐빕니다.,학교가 너무 붐빕니다노ㅎㅎ
다음 주에 도서관에서 뵙겠습니다.,다음 주에 도서관에서 뵙겠노ㅋㅋㅋ
내일에 면접이 있으니 늦지 말아 주세요.,내일에 면접이 있으니 늦지 말아 줘누
버정에 다음 주에 도착하겠습니다.,버정에 다음 주에 도착하겠노
오늘 러닝 경기가 정말 재미있었습니다.,오늘 러닝 경기가 ㄹㅇ 개꿀잼었노
노트북을 버정에 두고 온 것 같습니다.,노트북을 버정에 두고 온 것 같누
점심에 보고서이 있으니 늦지 말아 주세요.,점심에 보고서이 있으니 늦지 말아 줘노
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 쬐끔 더 자세히 해 주실 수 있노?!!
스타 실력이 매우 늘었습니다.,스타 실력이 개 늘었누ㅋㅋ
늦어서 정말 죄송합니다.,늦어서 ㄹㅇ 죄송누ㅋㅋ
집에 아침에 도착하겠습니다.,집에 아침에 도착하겠노ㄷㄷ
이 라면은 정말 맛있습니다.,이 라면은 개 개맛있노
스타 실력이 매우 늘었습니다.,스타 실력이 개 늘었노
오늘 공원이(가) 예상보다 한산합니다.,오늘 공원이 예상보다 한산노
모레에 발표이 있으니 늦지 말아 주세요.,모레에 발표이 있으니 늦지 말아 줘노
다음 단계로 진행하겠습니다.,다음 단계로 진행하겠누ㄷㄷ
마우스을 어디에 두셨는지 기억나십니까?,마우스을 어디에 두셨는지 기억나십니까노?ㅋㅋ
스타 실력이 매우 늘었습니다.,스타 실력이 개 늘었누
도서관에 다음 주에 도착하겠습니다.,도서관에 다음 주에 도착하겠노
오늘 제주도 날씨가 정말 좋습니다.,오늘 제주도 날씨가 ㄹㅇ 지리노
아침에 회사에서 뵙겠습니다.,아침에 회사에서 뵙겠노ㄷㄷ
키보드을 버정에 두고 온 것 같습니다.,키보드을 버정에 두고 온 것 같누
배그 실력이 매우 늘었습니다.,배그 실력이 겁나 늘었노!!
도움 주셔서 진심으로 감사합니다.,빽 주셔서  감사노
다음 주까지는 완료하겠습니다.,다음 주까지 완료하겠노!!
화학 숙제를 아직 제출하지 못했습니다.,화학 숙제를 아직 제출하지 못했노ㅎㅎ
모레에 회의이 있으니 늦지 말아 주세요.,모레에 회의이 있으니 늦지 말아 줘누!!
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠누ㄷㄷ
내일까지 결과를 보내 주십시오.,내일까지 결과를 보내 줘누!!
지구과학 숙제를 아직 제출하지 못했습니다.,지구과학 숙제를 아직 제출하지 못했누ㅋㅋ
주말에 미팅이 있으니 늦지 말아 주세요.,주말에 미팅이 있으니 늦지 말아 줘누
오늘 역 근처에 계신가요?,오늘 역 근처에 있노?ㄷㄷ
이 김밥은 정말 맛있습니다.,이 김밥은 ㄹㅇ 존맛노!!
주말에 회의 일정을 조율하겠습니다.,주말에 회의 일정을 조율하겠노
오늘 아침에 운동하실 수 있나요?,오늘 아침에 운동하실 수 있노?!!
이 초밥은 정말 맛있습니다.,이 초밥은 존나 존맛노ㅋㅋㅋ
이 초밥은 정말 맛있습니다.,이 초밥은 존나 존맛누
도서관이(가) 너무 붐빕니다.,도서관이 너무 붐빕니다노
오늘 인천 날씨가 정말 좋습니다.,오늘 인천 날씨가 존나 쩔누ㅎㅎ
역이(가) 너무 붐빕니다.,역이 너무 붐빕니다노
오늘 도쿄 날씨가 정말 좋습니다.,오늘 도쿄 날씨가 개 지리노
디아 실력이 매우 늘었습니다.,디아 실력이 개 늘었누
오늘 제주도 날씨가 정말 좋습니다.,오늘 제주도 날씨가 ㄹㅇ 지리노ㅋㅋ
공원에 모레에 도착하겠습니다.,공원에 모레에 도착하겠노
다음 주에 회의 일정을 조율하겠습니다.,다음 주에 회의 일정을 조율하겠노
주말에 버정에서 뵙겠습니다.,주말에 버정에서 뵙겠누
물리 숙제를 아직 제출하지 못했습니다.,물리 숙제를 아직 제출하지 못했누ㅋㅋㅋ
이 비빔밥은 정말 맛있습니다.,이 비빔밥은 개 개맛있노ㅎㅎ
마크 실력이 매우 늘었습니다.,마크 실력이 개 늘었누!!
폰을 어디에 두셨는지 기억나십니까?,폰을 어디에 두셨는지 기억나십니까노?
도움 주셔서 진심으로 감사합니다.,빽 주셔서  감사누
야구 연습은 잘 되고 있습니까?,야구 연습은 잘 되고 있노?
배그 실력이 매우 늘었습니다.,배그 실력이 개 늘었노ㅋㅋ
오늘 도서관 근처에 계신가요?,오늘 도서관 근처에 있노?!!
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠노ㅋㅋ
내일에 회사에서 뵙겠습니다.,내일에 회사에서 뵙겠노ㅎㅎ
밤에 회의 일정을 조율하겠습니다.,밤에 회의 일정을 조율하겠노
롤 실력이 매우 늘었습니다.,롤 실력이 겁나 늘었노ㄷㄷ
오늘 서울로 이동하겠습니다.,오늘 서울로 이동하겠누
파일을 다시 업로드해 주시겠어요?,파일을 다시 업로드해 줄래노?!!
평일에 발표이 있으니 늦지 말아 주세요.,평일에 발표이 있으니 늦지 말아 줘노ㅋㅋ
지금 바로 처리하겠습니다.,지금 바로 처리하겠노ㅋㅋㅋ
내일에 회의 일정을 조율하겠습니다.,내일에 회의 일정을 조율하겠누ㅋㅋㅋ
내일에 보고서이 있으니 늦지 말아 주세요.,내일에 보고서이 있으니 늦지 말아 줘누ㅋㅋㅋ
모레에 회의 일정을 조율하겠습니다.,모레에 회의 일정을 조율하겠누ㅋㅋ
노트북을 학교에 두고 온 것 같습니다.,노트북을 학교에 두고 온 것 같누
이 초밥은 정말 맛있습니다.,이 초밥은 ㄹㅇ 개맛있노
이 김밥은 정말 맛있습니다.,이 김밥은 겁나 개맛있노ㅋㅋ
카페에 다음 주에 도착하겠습니다.,카페에 다음 주에 도착하겠누ㅎㅎ
다음 주에 점검이 있으니 늦지 말아 주세요.,다음 주에 점검이 있으니 늦지 말아 줘노ㅋㅋㅋ
카페에 밤에 도착하겠습니다.,카페에 밤에 도착하겠누ㅋㅋㅋ
다음 주에 집에서 뵙겠습니다.,다음 주에 집에서 뵙겠누
배그 실력이 매우 늘었습니다.,배그 실력이 겁나 늘었누
이 방법으로 진행하시면 될 것 같습니다.,이 방법으로 진행하시면 될 것 같노ㅋㅋㅋ
조심히 들어가세요.,조심히 들어가세요노
도움 주셔서 진심으로 감사합니다.,도움 주셔서  감사노ㅎㅎ
모레에 회의 일정을 조율하겠습니다.,모레에 회의 일정을 조율하겠누
오늘 러닝 경기가 정말 재미있었습니다.,오늘 러닝 경기가 존나 개꿀잼었누ㅎㅎ
책을 어디에 두셨는지 기억나십니까?,책을 어디에 두셨는지 기억나십니까노?!!
오늘 광주로 이동하겠습니다.,오늘 광주로 이동하겠누
탭 배터리가 너무 빨리 닳습니다.,탭 배터리가 너무 빨리 닳누
배그 실력이 매우 늘었습니다.,배그 실력이 겁나 늘었누ㄷㄷ
약속 시간이 조금 빠듯합니다.,약속 시간이 살짝 빠듯누ㅋㅋ
평일에 회의 일정을 조율하겠습니다.,평일에 회의 일정을 조율하겠누ㅋㅋ
스타 실력이 매우 늘었습니다.,스타 실력이 겁나 늘었누
수영 연습은 잘 되고 있습니까?,수영 연습은 잘 되고 있노?ㅋㅋㅋ
내일에 버정에서 뵙겠습니다.,내일에 버정에서 뵙겠노
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠노!!
다음 주에 공원에서 뵙겠습니다.,다음 주에 공원에서 뵙겠노
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 ㄹㅇ 개꿀잼었누!!
수영 연습은 잘 되고 있습니까?,수영 연습은 잘 되고 있노?ㄷㄷ
키보드을 학교에 두고 온 것 같습니다.,키보드을 학교에 두고 온 것 같누
아침에 회의 일정을 조율하겠습니다.,아침에 회의 일정을 조율하겠노
오늘 대구로 이동하겠습니다.,오늘 대구로 이동하겠노
폰을 회사에 두고 온 것 같습니다.,폰을 회사에 두고 온 것 같노
점심에 공원에서 뵙겠습니다.,점심에 공원에서 뵙겠노ㄷㄷ
점심에 회의 일정을 조율하겠습니다.,점심에 회의 일정을 조율하겠누
이 김밥은 정말 맛있습니다.,이 김밥은 진짜 개맛있누!!
내일에 회의 일정을 조율하겠습니다.,내일에 회의 일정을 조율하겠노!!
폰 배터리가 너무 빨리 닳습니다.,폰 배터리가 너무 빨리 닳노ㅎㅎ
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 존나 개꿀잼었누ㄷㄷ
오늘 아침에 운동하실 수 있나요?,오늘 아침에 운동하실 수 있노?ㅋㅋㅋ
헬스장에 내일에 도착하겠습니다.,헬스장에 내일에 도착하겠누
주말에 헬스장에서 뵙겠습니다.,주말에 헬스장에서 뵙겠누
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠노
오늘 헬스장이(가) 예상보다 한산합니다.,오늘 헬스장이 예상보다 한산노ㄷㄷ
일정을 조금 미루는 것이 어떨까요?,일정을 쪼끔 미루는 것이 어떨까요노?!!
이 버거은 정말 맛있습니다.,이 버거은 진짜 존맛노
파일을 다시 업로드해 주시겠어요?,파일을 다시 업로드해 줄래노?ㅎㅎ
아침에 회의 일정을 조율하겠습니다.,아침에 회의 일정을 조율하겠누ㅋㅋㅋ
오늘 역이(가) 예상보다 한산합니다.,오늘 역이 예상보다 한산노ㅋㅋ
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 ㄹㅇ 쩔노ㅎㅎ
다음 주에 회의 일정을 조율하겠습니다.,다음 주에 회의 일정을 조율하겠누
오늘 부산 날씨가 정말 좋습니다.,오늘 부산 날씨가 ㄹㅇ 쩔누ㄷㄷ
아침에 회사에서 뵙겠습니다.,아침에 회사에서 뵙겠노ㅋㅋㅋ
오늘 수영 경기가 정말 재미있었습니다.,오늘 수영 경기가 겁나 꿀잼었노
이 라면은 정말 맛있습니다.,이 라면은 진짜 개맛있누
노트북 배터리가 너무 빨리 닳습니다.,노트북 배터리가 너무 빨리 닳누
연락이 늦어 죄송합니다.,연락이 늦어 죄송노ㅋㅋ
책을 역에 두고 온 것 같습니다.,책을 역에 두고 온 것 같누ㅋㅋ
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠누
책 배터리가 너무 빨리 닳습니다.,책 배터리가 너무 빨리 닳노
오늘 인천로 이동하겠습니다.,오늘 인천로 이동하겠노ㅋㅋ
이 문장을 간단하게 바꿔 주세요.,이 문장을 간단하게 바꿔 줘누ㅋㅋ
학교에 아침에 도착하겠습니다.,학교에 아침에 도착하겠누
오늘 러닝 경기가 정말 재미있었습니다.,오늘 러닝 경기가 ㄹㅇ 꿀잼었노
도움 주셔서 진심으로 감사합니다.,빽 주셔서  감사누ㅋㅋ
설명을 조금 더 자세히 해 주실 수 있나요?,설명을 살짝 더 자세히 해 주실 수 있노?ㅋㅋㅋ
늦어서 정말 죄송합니다.,늦어서 ㄹㅇ 죄송누ㅋㅋㅋ
이 비빔밥은 정말 맛있습니다.,이 비빔밥은 진짜 존맛노
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 겁나 꿀잼었노
오늘 대구 날씨가 정말 좋습니다.,오늘 대구 날씨가 겁나 쩔노
폰을 도서관에 두고 온 것 같습니다.,폰을 도서관에 두고 온 것 같노ㅎㅎ
오늘 인천로 이동하겠습니다.,오늘 인천로 이동하겠노ㅋㅋㅋ
도움 주셔서 진심으로 감사합니다.,빽 주셔서  감사누ㅎㅎ
역에 밤에 도착하겠습니다.,역에 밤에 도착하겠노ㅋㅋ
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 진짜 개맛있노
헬스장이(가) 너무 붐빕니다.,헬스장이 너무 붐빕니다노ㅋㅋㅋ
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠노
모레에 마감이 있으니 늦지 말아 주세요.,모레에 마감이 있으니 늦지 말아 줘노ㄷㄷ
수학 숙제를 아직 제출하지 못했습니다.,수학 숙제를 아직 제출하지 못했누!!
도움 주셔서 진심으로 감사합니다.,도움 주셔서  감사노ㅋㅋ
일정을 조금 미루는 것이 어떨까요?,일정을 쬐끔 미루는 것이 어떨까요노?
저녁에 회의 일정을 조율하겠습니다.,저녁에 회의 일정을 조율하겠누
오늘 서울로 이동하겠습니다.,오늘 서울로 이동하겠노ㅋㅋ
그 제안은 괜찮아 보입니다.,그 제안은 괜찮아 보노
의견 주시면 감사하겠습니다.,의견 주시면 감사하겠누ㅋㅋㅋ
오늘 대전 날씨가 정말 좋습니다.,오늘 대전 날씨가 진짜 지리누
모레에 회의 일정을 조율하겠습니다.,모레에 회의 일정을 조율하겠누ㅋㅋㅋ
사진 화질이 조금 아쉽습니다.,사진 화질이 쪼끔 아쉽노ㅎㅎ
지갑을 학교에 두고 온 것 같습니다.,지갑을 학교에 두고 온 것 같노
오늘 파리 날씨가 정말 좋습니다.,오늘 파리 날씨가 ㄹㅇ 지리노ㄷㄷ
이 초밥은 정말 맛있습니다.,이 초밥은 ㄹㅇ 존맛노
오늘 파리 날씨가 정말 좋습니다.,오늘 파리 날씨가 진짜 쩔노ㄷㄷ
키보드을 집에 두고 온 것 같습니다.,키보드을 집에 두고 온 것 같노
오늘 부산로 이동하겠습니다.,오늘 부산로 이동하겠누ㅋㅋ
이 피자은 정말 맛있습니다.,이 피자은 진짜 존맛노
배그 실력이 매우 늘었습니다.,배그 실력이 개 늘었누ㅋㅋ
역에 내일에 도착하겠습니다.,역에 내일에 도착하겠누
지갑을 카페에 두고 온 것 같습니다.,지갑을 카페에 두고 온 것 같노ㅋㅋ
오늘 저녁에 운동하실 수 있나요?,오늘 저녁에 운동하실 수 있노?ㅎㅎ
주말에 보고서이 있으니 늦지 말아 주세요.,주말에 보고서이 있으니 늦지 말아 줘누
오버워치 실력이 매우 늘었습니다.,오버워치 실력이 겁나 늘었누ㅎㅎ
이 문제를 어떻게 해결하면 좋을까요?,이 문제를 어떻게 해결하면 지리을까요노?ㄷㄷ
내일까지 결과를 보내 주십시오.,내일까지 결과를 보내 줘노ㅋㅋㅋ
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠노
사탐 숙제를 아직 제출하지 못했습니다.,사탐 숙제를 아직 제출하지 못했누ㄷㄷ
오늘 내일에 운동하실 수 있나요?,오늘 내일에 운동하실 수 있노?!!
내일에 회사에서 뵙겠습니다.,내일에 회사에서 뵙겠노
책을 어디에 두셨는지 기억나십니까?,책을 어디에 두셨는지 기억나십니까노?ㅋㅋㅋ
잠시만 기다려 주세요.,잠시만 기다려 줘누ㄷㄷ
오늘 내일에 운동하실 수 있나요?,오늘 내일에 운동하실 수 있노?ㅎㅎ
오늘 축구 경기가 정말 재미있었습니다.,오늘 축구 경기가 ㄹㅇ 개꿀잼었누
파일을 다시 업로드해 주시겠어요?,파일을 다시 업로드해 줄래노?
내일 다음 주에 출발해도 될까요?,내일 다음 주에 출발해도 될까요노?ㅋㅋ
배그 실력이 매우 늘었습니다.,배그 실력이 개 늘었노
다음 주에 면접이 있으니 늦지 말아 주세요.,다음 주에 면접이 있으니 늦지 말아 줘누
내일까지 결과를 보내 주십시오.,내일까지 결과를 보내 줘누ㅋㅋ
이 초밥은 정말 맛있습니다.,이 초밥은 진짜 개맛있누!!
내일 내일에 출발해도 될까요?,내일 내일에 출발해도 될까요노?ㅋㅋ
탭을 어디에 두셨는지 기억나십니까?,탭을 어디에 두셨는지 기억나십니까노?ㄷㄷ
이 불고기은 정말 맛있습니다.,이 불고기은 ㄹㅇ 존맛누
자료를 다시 한 번 확인하겠습니다.,자료를 다시 한 번 확인하겠누ㅎㅎ
내일에 버정에서 뵙겠습니다.,내일에 버정에서 뵙겠노ㅋㅋ
버정이(가) 너무 붐빕니다.,버정이 너무 붐빕니다누ㅋㅋㅋ
문서를 검토한 뒤 회신드리겠습니다.,문서를 검토한 뒤 회신드리겠누!!
사진을 첨부해 드렸습니다.,사진을 첨부해 드렸노ㄷㄷ
아침에 마감이 있으니 늦지 말아 주세요.,아침에 마감이 있으니 늦지 말아 줘누ㄷㄷ
스타 실력이 매우 늘었습니다.,스타 실력이 겁나 늘었노ㅋㅋ
평일에 회의 일정을 조율하겠습니다.,평일에 회의 일정을 조율하겠누
키보드을 회사에 두고 온 것 같습니다.,키보드을 회사에 두고 온 것 같노ㅋㅋㅋ
오늘 축구 경기가 정말 재미있었습니다.,오늘 축구 경기가 ㄹㅇ 개꿀잼었누ㅎㅎ
저녁에 회의 일정을 조율하겠습니다.,저녁에 회의 일정을 조율하겠누!!
폰을 헬스장에 두고 온 것 같습니다.,폰을 헬스장에 두고 온 것 같노ㅎㅎ
다음 단계로 진행하겠습니다.,다음 단계로 진행하겠노ㅎㅎ
사진 몇 장만 더 보내 주실 수 있을까요?,사진 몇 장만 더 보내 주실 수 있을까요노?ㅋㅋㅋ
키보드을 버정에 두고 온 것 같습니다.,키보드을 버정에 두고 온 것 같노ㅎㅎ
오늘 도서관이(가) 예상보다 한산합니다.,오늘 도서관이 예상보다 한산누
일정을 조금 미루는 것이 어떨까요?,일정을 살짝 미루는 것이 어떨까요노?ㅋㅋㅋ
공원이(가) 너무 붐빕니다.,공원이 너무 붐빕니다누!!
의견 주시면 감사하겠습니다.,의견 주시면 감사하겠노ㅎㅎ
평일에 점검이 있으니 늦지 말아 주세요.,평일에 점검이 있으니 늦지 말아 줘노
이어폰을 도서관에 두고 온 것 같습니다.,이어폰을 도서관에 두고 온 것 같노
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 진짜 개꿀잼었누
늦어서 정말 죄송합니다.,늦어서 ㄹㅇ 죄송누!!
오늘 배구 경기가 정말 재미있었습니다.,오늘 배구 경기가 존나 꿀잼었누
폰을 버정에 두고 온 것 같습니다.,폰을 버정에 두고 온 것 같누
늦어서 정말 죄송합니다.,늦어서 진짜 죄송노
집에 다음 주에 도착하겠습니다.,집에 다음 주에 도착하겠누
사진 화질이 조금 아쉽습니다.,사진 화질이 쬐끔 아쉽노ㅋㅋㅋ
늦어서 정말 죄송합니다.,늦어서 진짜 죄송노!!
이어폰 배터리가 너무 빨리 닳습니다.,이어폰 배터리가 너무 빨리 닳노ㄷㄷ
주말에 공원에서 뵙겠습니다.,주말에 공원에서 뵙겠노ㅎㅎ
오늘 집이(가) 예상보다 한산합니다.,오늘 집이 예상보다 한산누ㅋㅋㅋ
오늘 테니스 경기가 정말 재미있었습니다.,오늘 테니스 경기가 개 개꿀잼었노
이 삼겹살은 정말 맛있습니다.,이 삼겹살은 ㄹㅇ 개맛있누
다음 주에 발표이 있으니 늦지 말아 주세요.,다음 주에 발표이 있으니 늦지 말아 줘누
회사에 평일에 도착하겠습니다.,회사에 평일에 도착하겠누ㅋㅋ
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 존나 개꿀잼었누
내일에 회의 일정을 조율하겠습니다.,내일에 회의 일정을 조율하겠노ㄷㄷ
점심에 회의 일정을 조율하겠습니다.,점심에 회의 일정을 조율하겠노
가격이 다소 높은 편입니다.,가격이 좀 높은 편누
이 김밥은 정말 맛있습니다.,이 김밥은 ㄹㅇ 존맛누ㅋㅋ
잠시만 기다려 주세요.,잠시만 기다려 줘누ㅋㅋ
늦어서 정말 죄송합니다.,늦어서 ㄹㅇ 죄송노ㅋㅋㅋ
헬스장이(가) 너무 붐빕니다.,헬스장이 너무 붐빕니다누ㅋㅋㅋ
내일 주말에 출발해도 될까요?,내일 주말에 출발해도 될까요노?ㅎㅎ
오늘 서울 날씨가 정말 좋습니다.,오늘 서울 날씨가 진짜 쩔누ㅋㅋ
점심에 발표이 있으니 늦지 말아 주세요.,점심에 발표이 있으니 늦지 말아 줘누
오늘 클라이밍 경기가 정말 재미있었습니다.,오늘 클라이밍 경기가 진짜 개꿀잼었누ㅋㅋ
가격이 다소 높은 편입니다.,가격이 좀 높은 편노ㅎㅎ
카페에 평일에 도착하겠습니다.,카페에 평일에 도착하겠누
늦어서 정말 죄송합니다.,늦어서 개 죄송노ㅋㅋ
지금 바로 처리하겠습니다.,지금 바로 처리하겠누!!
오늘 농구 경기가 정말 재미있었습니다.,오늘 농구 경기가 진짜 개꿀잼었누
오늘 야구 경기가 정말 재미있었습니다.,오늘 야구 경기가 ㄹㅇ 꿀잼었누
오늘 회사 근처에 계신가요?,오늘 회사 근처에 있노?ㅋㅋ
오늘 러닝 경기가 정말 재미있었습니다.,오늘 러닝 경기가 진짜 꿀잼었노
오늘 학교이(가) 예상보다 한산합니다.,오늘 학교가 예상보다 한산누ㅎㅎ
이 떡볶이은 정말 맛있습니다.,이 떡볶이은 ㄹㅇ 존맛누
내일까지 결과를 보내 주십시오.,내일까지 결과를 보내 줘노ㄷㄷ
오늘 서울 날씨가 정말 좋습니다.,오늘 서울 날씨가 진짜 지리누ㄷㄷ
평일에 면접이 있으니 늦지 말아 주세요.,평일에 면접이 있으니 늦지 말아 줘노
조금만 더 기다려 주시면 감사하겠습니다.,조금만 더 기다려 주시면 감사하겠누!!
마우스을 공원에 두고 온 것 같습니다.,마우스을 공원에 두고 온 것 같노
새로운 프로젝트를 시작했습니다.,새로운 프로젝트를 시작했누!!
평일에 헬스장에서 뵙겠습니다.,평일에 헬스장에서 뵙겠누!!
오늘 파리로 이동하겠습니다.,오늘 파리로 이동하겠노ㅎㅎ
모레에 점검이 있으니 늦지 말아 주세요.,모레에 점검이 있으니 늦지 말아 줘누!!
